,DATE,ORIGIN_STATE_NM,DEST_STATE_NM,PASSENGERS,FREIGHT,MAIL,DISTANCE,SLIDER_KEYS
146,2019-01,Colorado,Alabama,8210,0.0,0,7511,0
147,2019-01,Colorado,Alaska,4900,8625.0,3438,2405,0
148,2019-01,Colorado,Arizona,122874,104168.0,26485,9216,0
149,2019-01,Colorado,Arkansas,6945,175.0,0,4932,0
150,2019-01,Colorado,California,387230,511350.0,131711,56101,0
151,2019-01,Colorado,Colorado,97906,0.0,0,8256,0
152,2019-01,Colorado,Connecticut,5323,12174.0,28765,3342,0
153,2019-01,Colorado,Florida,159408,73681.0,163903,37702,0
154,2019-01,Colorado,Georgia,77067,99923.0,138126,16299,0
155,2019-01,Colorado,Hawaii,23081,180984.0,58961,13410,0
156,2019-01,Colorado,Idaho,22185,18116.0,0,3504,0
157,2019-01,Colorado,Illinois,116076,152819.0,73799,15169,0
158,2019-01,Colorado,Indiana,19151,24802.0,0,4885,0
159,2019-01,Colorado,Iowa,19157,5702.0,0,4918,0
160,2019-01,Colorado,Kansas,10180,267.0,0,3985,0
161,2019-01,Colorado,Kentucky,23526,13796.0,1039,11624,0
162,2019-01,Colorado,Louisiana,23818,5664.0,8205,4956,0
163,2019-01,Colorado,Maryland,27314,57806.0,26232,4473,0
164,2019-01,Colorado,Massachusetts,30582,34904.0,57847,7133,0
165,2019-01,Colorado,Michigan,36700,10682.0,53877,10690,0
166,2019-01,Colorado,Minnesota,57438,73371.0,57444,5656,0
167,2019-01,Colorado,Mississippi,1247,0.0,0,967,0
168,2019-01,Colorado,Missouri,66830,45204.0,45836,12614,0
169,2019-01,Colorado,Montana,36914,21845.0,33466,9723,0
170,2019-01,Colorado,Nebraska,29957,11674.0,44711,5875,0
171,2019-01,Colorado,Nevada,94229,54161.0,30999,7380,0
172,2019-01,Colorado,New Hampshire,114,90.0,0,1729,0
173,2019-01,Colorado,New Jersey,39414,75643.0,62206,8458,0
174,2019-01,Colorado,New Mexico,19118,7869.0,0,2048,0
175,2019-01,Colorado,New York,57063,14943.0,28238,19394,0
176,2019-01,Colorado,North Carolina,48926,23756.0,87843,13835,0
177,2019-01,Colorado,North Dakota,20257,0.0,0,6995,0
178,2019-01,Colorado,Ohio,30975,41670.0,45424,13876,0
179,2019-01,Colorado,Oklahoma,33519,21162.0,0,5721,0
180,2019-01,Colorado,Oregon,47553,49054.0,106597,9680,0
181,2019-01,Colorado,Pennsylvania,41761,57441.0,104778,10102,0
182,2019-01,Colorado,Puerto Rico,23,0.0,0,2733,0
183,2019-01,Colorado,South Carolina,2538,0.0,0,5454,0
184,2019-01,Colorado,South Dakota,14225,5.0,0,3315,0
185,2019-01,Colorado,Tennessee,40911,38364.0,1975,13930,0
186,2019-01,Colorado,Texas,324668,117413.0,94825,43142,0
187,2019-01,Colorado,Utah,73925,137186.0,36356,4872,0
188,2019-01,Colorado,Virginia,60813,166454.0,31525,18039,0
189,2019-01,Colorado,Washington,82664,126951.0,75540,11247,0
190,2019-01,Colorado,Wisconsin,26213,10018.0,0,9493,0
191,2019-01,Colorado,Wyoming,19563,4264.0,0,3234,0
192,2019-01,Connecticut,Arizona,34,206.0,0,2213,0
193,2019-01,Connecticut,California,1144,6873.0,1943,12821,0
194,2019-01,Connecticut,Colorado,5967,5100.0,33006,3342,0
195,2019-01,Connecticut,Florida,81011,23063.0,14457,17937,0
196,2019-01,Connecticut,Georgia,23629,9523.0,155429,1718,0
197,2019-01,Connecticut,Hawaii,32,0.0,0,9953,0
198,2019-01,Connecticut,Illinois,21731,31396.0,96873,4692,0
199,2019-01,Connecticut,Iowa,1,0.0,0,1082,0
200,2019-01,Connecticut,Kentucky,829,0.0,0,1322,0
201,2019-01,Connecticut,Louisiana,8,0.0,0,1279,0
202,2019-01,Connecticut,Maryland,15144,55408.0,0,283,0
203,2019-01,Connecticut,Michigan,8991,1500.0,88805,2196,0
204,2019-01,Connecticut,Minnesota,6362,4.0,16167,4200,0
205,2019-01,Connecticut,Missouri,3559,11147.0,0,2126,0
206,2019-01,Connecticut,Nevada,23,4512.0,0,2297,0
207,2019-01,Connecticut,New York,121,0.0,0,207,0
208,2019-01,Connecticut,North Carolina,23694,5619.0,88837,4133,0
209,2019-01,Connecticut,Ohio,594,0.0,0,1502,0
210,2019-01,Connecticut,Oklahoma,5,0.0,0,1415,0
211,2019-01,Connecticut,Oregon,8,0.0,0,2470,0
212,2019-01,Connecticut,Pennsylvania,10275,6048.0,176,745,0
213,2019-01,Connecticut,Puerto Rico,5964,0.0,0,3332,0
214,2019-01,Connecticut,Tennessee,202,0.0,0,2753,0
215,2019-01,Connecticut,Texas,8483,2934.0,26899,11218,0
216,2019-01,Connecticut,Virginia,19003,1172.0,30342,1591,0
217,2019-01,Connecticut,Wisconsin,3,0.0,0,780,0
218,2019-01,Florida,Alabama,16297,12783.0,0,5322,0
219,2019-01,Florida,Arizona,56548,92399.0,86366,33217,0
220,2019-01,Florida,Arkansas,3892,0.0,0,2461,0
221,2019-01,Florida,California,220358,817320.0,278646,155573,0
222,2019-01,Florida,Colorado,164646,136754.0,79051,34906,0
223,2019-01,Florida,Connecticut,77508,55677.0,14,16804,0
224,2019-01,Florida,Florida,307360,170716.0,47132,20072,0
225,2019-01,Florida,Georgia,707877,823477.0,328748,18162,0
226,2019-01,Florida,Illinois,373953,501585.0,96908,65356,0
227,2019-01,Florida,Indiana,75987,25781.0,0,23469,0
228,2019-01,Florida,Iowa,12069,0.0,0,9251,0
229,2019-01,Florida,Kansas,165,890.0,0,2220,0
230,2019-01,Florida,Kentucky,86629,10671.0,29,26918,0
231,2019-01,Florida,Louisiana,61751,56647.0,27473,8349,0
232,2019-01,Florida,Maine,9384,0.0,0,13995,0
233,2019-01,Florida,Maryland,179057,252277.0,0,13595,0
234,2019-01,Florida,Massachusetts,218105,79452.0,85682,33929,0
235,2019-01,Florida,Michigan,233834,57996.0,88298,42148,0
236,2019-01,Florida,Minnesota,149351,74556.0,68458,36951,0
237,2019-01,Florida,Mississippi,2134,0.0,0,1653,0
238,2019-01,Florida,Missouri,99363,98373.0,1701,28753,0
239,2019-01,Florida,Nebraska,9423,871.0,0,11255,0
240,2019-01,Florida,Nevada,72974,99697.0,9996,50587,0
241,2019-01,Florida,New Hampshire,15028,3762.0,0,6964,0
242,2019-01,Florida,New Jersey,365415,92001.0,92108,41387,0
243,2019-01,Florida,New Mexico,1826,0.0,0,6292,0
244,2019-01,Florida,New York,700852,661421.0,257422,131427,0
245,2019-01,Florida,North Carolina,387850,114810.0,163355,37707,0
246,2019-01,Florida,North Dakota,2033,0.0,0,3136,0
247,2019-01,Florida,Ohio,140330,24751.0,0,47626,0
248,2019-01,Florida,Oklahoma,3225,434.0,0,9250,0
249,2019-01,Florida,Oregon,5154,1588.0,286,10259,0
250,2019-01,Florida,Pennsylvania,312230,320762.0,45128,56907,0
251,2019-01,Florida,Puerto Rico,176082,544996.0,58268,19300,0
252,2019-01,Florida,Rhode Island,46841,14859.0,0,15967,0
253,2019-01,Florida,South Carolina,17164,25.0,0,7895,0
254,2019-01,Florida,South Dakota,2056,0.0,0,2668,0
255,2019-01,Florida,Tennessee,118505,64345.0,0,26931,0
256,2019-01,Florida,Texas,575025,1332432.0,352752,84471,0
257,2019-01,Florida,U.S. Virgin Islands,26390,54994.0,1742,5739,0
258,2019-01,Florida,Utah,31829,28471.0,9810,17354,0
259,2019-01,Florida,Virginia,260340,54724.0,24552,48471,0
260,2019-01,Florida,Washington,32758,32282.0,15059,35978,0
261,2019-01,Florida,West Virginia,4300,0.0,0,2113,0
262,2019-01,Florida,Wisconsin,49448,6811.0,0,22041,0
263,2019-01,Georgia,Alabama,68871,41098.0,25842,1836,0
264,2019-01,Georgia,Arizona,52653,78142.0,300466,7843,0
265,2019-01,Georgia,Arkansas,31203,14663.0,0,4158,0
266,2019-01,Georgia,California,206154,971808.0,1090128,44013,0
267,2019-01,Georgia,Colorado,75287,91650.0,187010,17690,0
268,2019-01,Georgia,Connecticut,22973,15826.0,78086,1718,0
269,2019-01,Georgia,Florida,672531,507638.0,529361,18061,0
270,2019-01,Georgia,Georgia,102031,34011.0,0,2348,0
271,2019-01,Georgia,Hawaii,9275,253234.0,73027,13494,0
272,2019-01,Georgia,Idaho,15,0.0,0,1838,0
